No,Jenis Barang,STLE [Rp],Kadar [karat],Berat [gram],Nilai Taksiran [Rp],LTV,Uang Pinjaman [Rp]
1,LM Antam Certieye,"1,820,000",24,1,"1,820,000",98%,"1,783,600"
2,LM Antam Retro,"1,820,000",24,1,"1,820,000",98%,"1,783,600"
3,LM Non Antam,"1,765,000",24,1,"1,765,000",98%,"1,729,700"
4,Perhiasan,"1,765,000",24,1,"1,765,000",98%,"1,729,700"
5,Perhiasan,"1,691,458",23,1,"1,691,458",98%,"1,657,629"
6,Perhiasan,"1,617,917",22,1,"1,617,917",98%,"1,585,558"
7,Perhiasan,"1,544,375",21,1,"1,544,375",98%,"1,513,488"
8,Perhiasan,"1,470,833",20,1,"1,470,833",98%,"1,441,417"
9,Perhiasan,"1,397,292",19,1,"1,397,292",98%,"1,369,346"
10,Perhiasan,"1,323,750",18,1,"1,323,750",98%,"1,297,275"
11,Perhiasan,"1,250,208",17,1,"1,250,208",98%,"1,225,204"
12,Perhiasan,"1,176,667",16,1,"1,176,667",98%,"1,153,133"
13,Perhiasan,"1,103,125",15,1,"1,103,125",98%,"1,081,063"
14,Perhiasan,"1,029,583",14,1,"1,029,583",98%,"1,008,992"
15,Perhiasan,"956,042",13,1,"956,042",98%,"936,921"
16,Perhiasan,"882,500",12,1,"882,500",98%,"864,850"
17,Perhiasan,"808,958",11,1,"808,958",98%,"792,779"
18,Perhiasan,"735,417",10,1,"735,417",98%,"720,708"
19,Perhiasan,"661,875",9,1,"661,875",98%,"648,638"
20,Perhiasan,"588,333",8,1,"588,333",98%,"576,567"